,sentence,intent,action,scenario,labels
175,read me the news for the day,qa_factoid,factoid,qa,1
176,i don't want this list any more,qa_factoid,factoid,qa,1
177,rearrange that off the list,qa_factoid,factoid,qa,1
178,play my top rated pop songs please,qa_factoid,factoid,qa,1
179,flag two day after this day as my holiday,qa_factoid,factoid,qa,1
180,nine hundred and ninety nine fm is currently playing what music,qa_factoid,factoid,qa,1
181,tell me when there is new news from my local news,qa_factoid,factoid,qa,1
182,find joel osteen's broadcast on sirius,qa_factoid,factoid,qa,1
183,make an alarm for three pm,qa_factoid,factoid,qa,1
184,what's worth watching,qa_factoid,factoid,qa,1
185,remove that item from my list,qa_factoid,factoid,qa,1
186,remove alarms set for tomorrow,qa_factoid,factoid,qa,1
187,if i have five u. s. d. how much is that in aud,qa_factoid,factoid,qa,1
188,closest chipotle,qa_factoid,factoid,qa,1
189,please submit status to facebook,qa_factoid,factoid,qa,1
190,after this play me rebel yell,qa_factoid,factoid,qa,1
191,i want to reply to jean's email,qa_factoid,factoid,qa,1
192,remind me about my biology test at fsu on friday,qa_factoid,factoid,qa,1
193,please look up exchange between us and mexico,qa_factoid,factoid,qa,1
194,send this message to @microsoft on twitter,qa_factoid,factoid,qa,1
195,remind me to pick up the laundry next monday,qa_factoid,factoid,qa,1
196,play music from my favorite artist,qa_factoid,factoid,qa,1
197,add something to my list,qa_factoid,factoid,qa,1
198,what new movies available today,qa_factoid,factoid,qa,1
199,what are movies that are playing near me with high reviews,qa_factoid,factoid,qa,1
200,list all train time to ny,qa_factoid,factoid,qa,1
201,by ten to eleven am daily start my vacuum cleaner,qa_factoid,factoid,qa,1
202,ten day forecast,qa_factoid,factoid,qa,1
203,it's very tough one,qa_factoid,factoid,qa,1
204,create a new list for me please,qa_factoid,factoid,qa,1
205,what is the time in zimbabwe right now,qa_factoid,factoid,qa,1
206,new tweet,qa_factoid,factoid,qa,1
207,put on cannibal queen,qa_factoid,factoid,qa,1
208,play episode of stuff you should know in queue,qa_factoid,factoid,qa,1
209,searching for recent happenings on the particular dates,qa_factoid,factoid,qa,1
210,please resume this playback in audiobook,qa_factoid,factoid,qa,1
211,get me some radio music from kamp fm,qa_factoid,factoid,qa,1
212,hey olly how do i start the robot vacuum cleaner,qa_factoid,factoid,qa,1
213,please add tom to my contact list,qa_factoid,factoid,qa,1
214,i want to wake up at six am tomorrow please,qa_factoid,factoid,qa,1
215,remember me to meet reveca today at six pm,qa_factoid,factoid,qa,1
216,look for a pizza recipe,qa_factoid,factoid,qa,1
217,what is the status on my latest order,qa_factoid,factoid,qa,1
218,please help me turn on the robot vacuum cleaner,qa_factoid,factoid,qa,1
219,tallest building,qa_factoid,factoid,qa,1
220,please tell me how can i remove the item,qa_factoid,factoid,qa,1
221,by proper formula,qa_factoid,factoid,qa,1
222,resume the last kingdom for me,qa_factoid,factoid,qa,1
223,reply back to this email,qa_factoid,factoid,qa,1
224,can i know the breaking news from cnn,qa_factoid,factoid,qa,1
225,do i have anything going on this saturday between two and four pm,qa_factoid,factoid,qa,1
226,get me a train ticket to chicago today,qa_factoid,factoid,qa,1
227,please tell few details about this person,qa_factoid,factoid,qa,1
228,read my unread emails,qa_factoid,factoid,qa,1
229,set an appointment for allen on tomorrow,qa_factoid,factoid,qa,1
230,can i get delivery from here,qa_factoid,factoid,qa,1
231,please refresh my gmail inbox,qa_factoid,factoid,qa,1
232,siri cancel yoga alarms,qa_factoid,factoid,qa,1
233,do you hear songs of arrahman music,qa_factoid,factoid,qa,1
234,i am really craving for chinese food right now please let me order take out,qa_factoid,factoid,qa,1
235,do i have any reminders pending,qa_factoid,factoid,qa,1
236,please let me know the time of train northern rail,qa_factoid,factoid,qa,1
237,remember dinner on thursday at bistro italia,qa_factoid,factoid,qa,1
238,is tom cruise an only child,qa_factoid,factoid,qa,1
239,please show me weather on twenty seventh march two thousand seventeen,qa_factoid,factoid,qa,1
240,i want some music how about playing my workout playlist,qa_factoid,factoid,qa,1
241,how is the traffic from home to work,qa_factoid,factoid,qa,1
242,what is this week's weather forecast,qa_factoid,factoid,qa,1
243,am or pm,qa_factoid,factoid,qa,1
244,olly turn the lights down to seven,qa_factoid,factoid,qa,1
245,what is the latest gossip of hollywood going on,qa_factoid,factoid,qa,1
246,tell me the exchange rate of ten dollar to euro,qa_factoid,factoid,qa,1
247,will it rain at all this week,qa_factoid,factoid,qa,1
248,play recently added audiobook,qa_factoid,factoid,qa,1
249,make an event reminder for monas wedding on tuesday,qa_factoid,factoid,qa,1
250,what is the name of this musical group,qa_factoid,factoid,qa,1
251,power off the current,qa_factoid,factoid,qa,1
252,please play my favorite song by bruno mars,qa_factoid,factoid,qa,1
253,read the headlines from new york times,qa_factoid,factoid,qa,1
254,resume my audiobook from the beginning of the last chapter i started,qa_factoid,factoid,qa,1
255,olly what's my agenda for the remainder of the week,qa_factoid,factoid,qa,1
256,turn the volume up,qa_factoid,factoid,qa,1
257,what's going on around the neighborhood,qa_factoid,factoid,qa,1
258,what is the time in new york,qa_factoid,factoid,qa,1
259,what is the name of the music playing now,qa_factoid,factoid,qa,1
260,what is the weather of this week,qa_factoid,factoid,qa,1
261,what is julia roberts natural hair color,qa_factoid,factoid,qa,1
262,will the sky be overcast,qa_factoid,factoid,qa,1
263,please turn bedroom lights off,qa_factoid,factoid,qa,1
264,calendar event with these people,qa_factoid,factoid,qa,1
265,mute sound from speakers,qa_factoid,factoid,qa,1
266,today date,qa_factoid,factoid,qa,1
267,any meeting on friday,qa_factoid,factoid,qa,1
268,can you play my music file,qa_factoid,factoid,qa,1
269,what is the title of the song that is playing,qa_factoid,factoid,qa,1
270,what's new in news express,qa_factoid,factoid,qa,1
271,list out the upcoming meeting,qa_factoid,factoid,qa,1
272,show bbc news live,qa_factoid,factoid,qa,1
273,toggle wemo plug socket on,qa_factoid,factoid,qa,1
274,play dynamite by acdc,qa_factoid,factoid,qa,1
275,what's happening in world news today,qa_factoid,factoid,qa,1
276,where is north dakota,qa_factoid,factoid,qa,1
277,play music by queen,qa_factoid,factoid,qa,1
278,check emails from cindy,qa_factoid,factoid,qa,1
279,i have a flight to take on the fifteenth,qa_factoid,factoid,qa,1
280,olly remind me about tomorrow's meeting tonight,qa_factoid,factoid,qa,1
281,which rom com movie can i watch in theatres around new york,qa_factoid,factoid,qa,1
282,find me new comments from my facebook,qa_factoid,factoid,qa,1
283,hey hey,qa_factoid,factoid,qa,1
284,where is stonehenge,qa_factoid,factoid,qa,1
285,mute the audio,qa_factoid,factoid,qa,1
286,remind me for tomorrow interview,qa_factoid,factoid,qa,1
287,remove thursday's lunch from my calendar,qa_factoid,factoid,qa,1
288,what state is david lynch from,qa_factoid,factoid,qa,1
289,lower all volume on speakers please,qa_factoid,factoid,qa,1
290,olly brighten the lights,qa_factoid,factoid,qa,1
291,hey siri chance the current light settings,qa_factoid,factoid,qa,1
292,olly accumulation of snow predictions in buffalo,qa_factoid,factoid,qa,1
293,phones,qa_factoid,factoid,qa,1
294,open papa pear saga,qa_factoid,factoid,qa,1
295,is it going to be nice tomorrow,qa_factoid,factoid,qa,1
296,climate,qa_factoid,factoid,qa,1
297,set a reminder for vacation next month,qa_factoid,factoid,qa,1
298,what day is memorial day this year,qa_factoid,factoid,qa,1
299,what did the clinic say about my exams,qa_factoid,factoid,qa,1
300,hey start an email to coworker,qa_factoid,factoid,qa,1
301,set up an alarm clock at one pm,qa_factoid,factoid,qa,1
302,how much is twelve divided by four,qa_factoid,factoid,qa,1
303,set a reminder that i have to visit my father tomorrow,qa_factoid,factoid,qa,1
304,remove today's meeting at evening,qa_factoid,factoid,qa,1
305,resume the reading of the french lesson,qa_factoid,factoid,qa,1
306,could you describe that object please,qa_factoid,factoid,qa,1
307,find me a ride to the mall of america please,qa_factoid,factoid,qa,1
308,report alarm settings,qa_factoid,factoid,qa,1
309,order general t'so eggroll to go,qa_factoid,factoid,qa,1
310,tell me the brief definition of evacuation,qa_factoid,factoid,qa,1
311,what is my location,qa_factoid,factoid,qa,1
312,i need a meeting with the cfo on thursday,qa_factoid,factoid,qa,1
313,delete call newspaper from my vacation list,qa_factoid,factoid,qa,1
314,is umbrella necessary for my outing,qa_factoid,factoid,qa,1
315,if it's ten pm in california what time is it in alabama,qa_factoid,factoid,qa,1
316,tweet for me the complaint about drainage choke up,qa_factoid,factoid,qa,1
317,play my most listened songs,qa_factoid,factoid,qa,1
318,i need to get to location call a cab,qa_factoid,factoid,qa,1
319,get me a taxi to take me to the airport on friday at five thirty am,qa_factoid,factoid,qa,1
320,will you please show me my lists,qa_factoid,factoid,qa,1
321,social info,qa_factoid,factoid,qa,1
322,what are the train times from san francisco to new york,qa_factoid,factoid,qa,1
323,listen to this song,qa_factoid,factoid,qa,1
324,please give me an update on the election every thirty minutes,qa_factoid,factoid,qa,1
325,whats happening in ny,qa_factoid,factoid,qa,1
326,what am i doing today,qa_factoid,factoid,qa,1
327,make a cup of coffee for me,qa_factoid,factoid,qa,1
328,am i busy this weekend,qa_factoid,factoid,qa,1
329,turn off the six am alarm for wednesday,qa_factoid,factoid,qa,1
330,change the color of the lights,qa_factoid,factoid,qa,1
331,tell me a play list,qa_factoid,factoid,qa,1
332,alexa what is the news in my area,qa_factoid,factoid,qa,1
333,remind the required events to be reset,qa_factoid,factoid,qa,1
334,how many of my sports podcasts have new episodes i have not listened to yet,qa_factoid,factoid,qa,1
335,please show me the exchange rate between the dollar and the yen,qa_factoid,factoid,qa,1
336,no more comments,qa_factoid,factoid,qa,1
337,hey share me some joke to make me happy,qa_factoid,factoid,qa,1
338,plays the podcast from the beginning,qa_factoid,factoid,qa,1
339,turn up the lights in here please,qa_factoid,factoid,qa,1
340,find an uber driver available for tonight after ten pm,qa_factoid,factoid,qa,1
341,check all emails from eric,qa_factoid,factoid,qa,1
342,tell me important news today,qa_factoid,factoid,qa,1
343,put pencil on a new grocery list,qa_factoid,factoid,qa,1
344,logan,qa_factoid,factoid,qa,1
345,will you help me write an email to chelsea,qa_factoid,factoid,qa,1
346,please respond to the email i just read,qa_factoid,factoid,qa,1
347,play enrique,qa_factoid,factoid,qa,1
348,please give me information next movie of aamir khan,qa_factoid,factoid,qa,1
349,what's the exchange rate between the us dollar and the euro,qa_factoid,factoid,qa,1
350,is it hot outside,qa_factoid,factoid,qa,1
351,can you give me the exchange rate for dollar in rupees,qa_factoid,factoid,qa,1
352,what are the latest articles from yahoo news,qa_factoid,factoid,qa,1
353,attend party before the meeting,qa_factoid,factoid,qa,1
354,increase lights please,qa_factoid,factoid,qa,1
355,play from my play list,qa_factoid,factoid,qa,1
356,do i have any upcoming events in my calendar,qa_factoid,factoid,qa,1
357,what events are in my calendar for today,qa_factoid,factoid,qa,1
358,request a taxi from udrive service,qa_factoid,factoid,qa,1
359,will it be too cold for a dress on sunday,qa_factoid,factoid,qa,1
360,what's the exchange rate for samsung,qa_factoid,factoid,qa,1
361,how soon can we expect rain,qa_factoid,factoid,qa,1
362,send email to gbaby tell her gma loves her and hopes she has a great weekend,qa_factoid,factoid,qa,1
363,delete day after event,qa_factoid,factoid,qa,1
364,remind me to meet joe for lunch tomorrow,qa_factoid,factoid,qa,1
365,play the current playlist,qa_factoid,factoid,qa,1
366,check for new emails,qa_factoid,factoid,qa,1
367,what is the condition of traffic from work to home,qa_factoid,factoid,qa,1
368,audio book play jai ho,qa_factoid,factoid,qa,1
369,when is that meeting with my boss next week,qa_factoid,factoid,qa,1
370,notify me if i receive any mail on my email account,qa_factoid,factoid,qa,1
371,who is the governor of new york,qa_factoid,factoid,qa,1
372,i'm starving whats good to eat in cincinnati,qa_factoid,factoid,qa,1
373,is calendar event false,qa_factoid,factoid,qa,1
374,olly i want to go to the outdoor movie screening this weekend remind me,qa_factoid,factoid,qa,1
375,dim the lights in the hall,qa_factoid,factoid,qa,1
376,can you please turn off the light of my bed room,qa_factoid,factoid,qa,1
377,play ninety three point five fm,qa_factoid,factoid,qa,1
378,what does tweet mean,qa_factoid,factoid,qa,1
379,send tweet to united airlines i'm angry you lost my bags,qa_factoid,factoid,qa,1
380,look up the definition to ambulance,qa_factoid,factoid,qa,1
381,mute for the next hour please,qa_factoid,factoid,qa,1
382,should i wear layers sometime today,qa_factoid,factoid,qa,1
383,what are my lists,qa_factoid,factoid,qa,1
384,tell me who send the email about the boss yesterday,qa_factoid,factoid,qa,1
385,what time is my wakeup alarm set for,qa_factoid,factoid,qa,1
386,what is the definition of marinara,qa_factoid,factoid,qa,1
387,what is the week today,qa_factoid,factoid,qa,1
388,did mark post anything new on facebook,qa_factoid,factoid,qa,1
389,lets solve the puzzle,qa_factoid,factoid,qa,1
390,what does the word hypocrisy mean,qa_factoid,factoid,qa,1
391,book a taxi to the airport for tomorrow morning,qa_factoid,factoid,qa,1
392,write a complaint to alzacz for the tablet i bought today,qa_factoid,factoid,qa,1
393,how old is tom hanks,qa_factoid,factoid,qa,1
394,when's the next train to cornwall,qa_factoid,factoid,qa,1
395,get me answers,qa_factoid,factoid,qa,1
396,send email to emilia saying i will be late please don't wait with dinner,qa_factoid,factoid,qa,1
397,remove my calendar event at one pm today,qa_factoid,factoid,qa,1
398,joke of the day,qa_factoid,factoid,qa,1
399,set an alarm for five minutes from now,qa_factoid,factoid,qa,1
400,google shuffle playlist,qa_factoid,factoid,qa,1
401,olly what else do i have on the list,qa_factoid,factoid,qa,1
402,find recipe chicken casserole,qa_factoid,factoid,qa,1
403,when was benjamin franklin born,qa_factoid,factoid,qa,1
404,could you please give me the birthday of mahatma gandhiji,qa_factoid,factoid,qa,1
405,get rid of the five pm alarm,qa_factoid,factoid,qa,1
406,theaters near to me,qa_factoid,factoid,qa,1
407,who are the greatest hip hop artists,qa_factoid,factoid,qa,1
408,what is mom's email address,qa_factoid,factoid,qa,1
409,who was the twenty fifth president of the united states of america,qa_factoid,factoid,qa,1
410,olly give me the news on donald trump,qa_factoid,factoid,qa,1
411,use in a sentence,qa_factoid,factoid,qa,1
412,ok google can you start ryan seacrest,qa_factoid,factoid,qa,1
413,what day of the week is valentine's on,qa_factoid,factoid,qa,1
414,what happened between the second and the fifteenth,qa_factoid,factoid,qa,1
415,please tell me if july has sent me any emails,qa_factoid,factoid,qa,1
416,can you tell me what haggis looks like,qa_factoid,factoid,qa,1
417,call a taxi to pick me up right now,qa_factoid,factoid,qa,1
418,my health planning,qa_factoid,factoid,qa,1
419,how old is jennifer lopez,qa_factoid,factoid,qa,1
420,what day does my birthday fall on next year,qa_factoid,factoid,qa,1
421,cars,qa_factoid,factoid,qa,1
422,please set alarm for,qa_factoid,factoid,qa,1
423,check for all emails from tom brady,qa_factoid,factoid,qa,1
424,i want to order some chinese food tonight what's delivering to me,qa_factoid,factoid,qa,1
425,how many miles is new york city from los angeles,qa_factoid,factoid,qa,1
426,tell me if there's any new news on that topic,qa_factoid,factoid,qa,1
427,how long is an earth day,qa_factoid,factoid,qa,1
428,send me the last list uploaded,qa_factoid,factoid,qa,1
429,send an email for me,qa_factoid,factoid,qa,1
430,instruct me to cook,qa_factoid,factoid,qa,1
431,short and simple,qa_factoid,factoid,qa,1
432,book a meeting with chelsea,qa_factoid,factoid,qa,1
433,power off on,qa_factoid,factoid,qa,1
434,remind me to go to the store every friday,qa_factoid,factoid,qa,1
435,please do not respond,qa_factoid,factoid,qa,1
436,do i have anything scheduled for march seventh,qa_factoid,factoid,qa,1
437,resume my audiobook where we paused last,qa_factoid,factoid,qa,1
438,play audiobook snow white,qa_factoid,factoid,qa,1
439,turn on a song,qa_factoid,factoid,qa,1
440,please play leviathan,qa_factoid,factoid,qa,1
441,clear list,qa_factoid,factoid,qa,1
442,change the opacity of the color,qa_factoid,factoid,qa,1
443,it is cloudy today,qa_factoid,factoid,qa,1
444,find out if the olive garden will let me do takeaway,qa_factoid,factoid,qa,1
445,what movies are playing at theatres near me,qa_factoid,factoid,qa,1
446,take milk off my grocery list,qa_factoid,factoid,qa,1
447,remove all data from my calendar,qa_factoid,factoid,qa,1
448,create a list of monthly groceries to be bought,qa_factoid,factoid,qa,1
449,what is on the list for today,qa_factoid,factoid,qa,1
450,just increase the volume a little,qa_factoid,factoid,qa,1
451,olly what are some restaurants near me,qa_factoid,factoid,qa,1
452,need a taxi tomorrow at eight in the morning,qa_factoid,factoid,qa,1
453,i would like a wake up alarm at seven am tomorrow,qa_factoid,factoid,qa,1
454,what year was elvis born,qa_factoid,factoid,qa,1
455,find my food,qa_factoid,factoid,qa,1
456,how many rivers are there in the world,qa_factoid,factoid,qa,1
457,do i have a list of contacts for the party i'm planning,qa_factoid,factoid,qa,1
458,is this the correct area code for my boss,qa_factoid,factoid,qa,1
459,who should i expect to be at the meeting today,qa_factoid,factoid,qa,1
460,where is stockton california,qa_factoid,factoid,qa,1
461,find and delete all of my weekend events with evan parker,qa_factoid,factoid,qa,1
462,should i wear a jacket today,qa_factoid,factoid,qa,1
463,please remind me one hour before the meeting i have tomorrow morning,qa_factoid,factoid,qa,1
464,what is the weather condition today,qa_factoid,factoid,qa,1
465,recent advice concerning google seo,qa_factoid,factoid,qa,1
466,set an alarm for five o'clock this evening labelled taxi,qa_factoid,factoid,qa,1
467,are eggs on my shopping list,qa_factoid,factoid,qa,1
468,i have an appointment tomorrow remind me,qa_factoid,factoid,qa,1
469,post pic on my phone on facebook alexa,qa_factoid,factoid,qa,1
470,how much for a train ticket,qa_factoid,factoid,qa,1
471,what alarms do i have set right now,qa_factoid,factoid,qa,1
472,olly what bars are around me,qa_factoid,factoid,qa,1
473,contact amazon customer service via twitter,qa_factoid,factoid,qa,1
